"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"charServer/entitlement/wt_japan_jasdf_sabre_pack";"JASDF Sabre Pack";"JASDF Sabre Pack";"JASDF Sabre Pack";"JASDF Sabre Pack";"JASDF Sabre Pack";"Набор JASDF Sabre";"JASDF Sabre Pack";"JASDF Sabre Pack";"JASDF Sabre Pack";"“\t旭\t光\t”\t礼\t包";"JASDF Sabre Pack";"JASDF Sabre Pack";"JASDF Sabre Pack";"JASDF Sabre Pack";"JASDF Sabre Pack";"JASDF Sabre Pack";"JASDF Sabre Pack";"JASDF Sabre Pack";"JASDF Sabre Pack";"JASDF Sabre Pack";"JASDF Sabre Pack";;
"charServer/entitlement/wt_japan_type_74g_pack";"Type 74 mod G/Kai Pack";"Type 74 mod G/Kai Pack";"Type 74 mod G/Kai Pack";"Type 74 mod G/Kai Pack";"Type 74 mod G/Kai Pack";"Набор Type 74 mod G/Kai";"Type 74 mod G/Kai Pack";"Type 74 mod G/Kai Pack";"Type 74 mod G/Kai Pack";"74 \t式\t战\t车\t (G) \t礼\t包";"Type 74 mod G/Kai Pack";"Type 74 mod G/Kai Pack";"Type 74 mod G/Kai Pack";"Type 74 mod G/Kai Pack";"Type 74 mod G/Kai Pack";"Type 74 mod G/Kai Pack";"Type 74 mod G/Kai Pack";"Type 74 mod G/Kai Pack";"Type 74 mod G/Kai Pack";"Type 74 mod G/Kai Pack";"Type 74 mod G/Kai Pack";;
"charServer/entitlement/wt_it_fiat_g91_r4_pack";"Набор Fiat G.91 R/4";"Набор Fiat G.91 R/4";"Набор Fiat G.91 R/4";"Набор Fiat G.91 R/4";"Набор Fiat G.91 R/4";"Набор Fiat G.91 R/4";"Набор Fiat G.91 R/4";"Набор Fiat G.91 R/4";"Набор Fiat G.91 R/4";"菲\t亚\t特\t G.91R/4 \t礼\t包";"Набор Fiat G.91 R/4";"Набор Fiat G.91 R/4";"Набор Fiat G.91 R/4";"Набор Fiat G.91 R/4";"Набор Fiat G.91 R/4";"Набор Fiat G.91 R/4";"Набор Fiat G.91 R/4";"Набор Fiat G.91 R/4";"Набор Fiat G.91 R/4";"Набор Fiat G.91 R/4";"Н\tа\tб\tо\tр\t Fiat G.91 R/4";;
"charServer/entitlement/wt_fr_super_amx_30_pack";"Super AMX-30 Pack";"Super AMX-30 Pack";"Super AMX-30 Pack";"Super AMX-30 Pack";"Super AMX-30 Pack";"Набор Super AMX-30";"Super AMX-30 Pack";"Super AMX-30 Pack";"Super AMX-30 Pack";"超\t级\t AMX 30 \t礼\t包";"Super AMX-30 Pack";"Super AMX-30 Pack";"Super AMX-30 Pack";"Super AMX-30 Pack";"Super AMX-30 Pack";"Super AMX-30 Pack";"Super AMX-30 Pack";"Super AMX-30 Pack";"Super AMX-30 Pack";"Super AMX-30 Pack";"Super AMX-30 Pack";;
"charServer/entitlement/wt_japan_ah_1s_cobra_pack";"AH-1S Cobra Pack";"AH-1S Cobra Pack";"AH-1S Cobra Pack";"AH-1S Cobra Pack";"AH-1S Cobra Pack";"Набор AH-1S Cobra";"AH-1S Cobra Pack";"AH-1S Cobra Pack";"AH-1S Cobra Pack";"AH-1S\t“\t眼\t镜\t蛇\t”\t礼\t包";"AH-1S Cobra Pack";"AH-1S Cobra Pack";"AH-1S Cobra Pack";"AH-1S Cobra Pack";"AH-1S Cobra Pack";"AH-1S Cobra Pack";"AH-1S Cobra Pack";"AH-1S Cobra Pack";"AH-1S Cobra Pack";"AH-1S Cobra Pack";"AH-1S Cobra Pack";;
"charServer/entitlement/wt_beginners_pack_2019";"US Beginner's Pack";"US Beginner's Pack";"US Beginner's Pack";"US Beginner's Pack";"US Beginner's Pack";"Набор Новобранца США";"US Beginner's Pack";"US Beginner's Pack";"US Beginner's Pack";"美\t国\t入\t门\t礼\t包";"US Beginner's Pack";"US Beginner's Pack";"US Beginner's Pack";"US Beginner's Pack";"US Beginner's Pack";"US Beginner's Pack";"US Beginner's Pack";"US Beginner's Pack";"US Beginner's Pack";"US Beginner's Pack";"US Beginner's Pack";;
"charServer/entitlement/wt_cn_shenyang_f5_pack";"Shenyang F-5 Pack";"Shenyang F-5 Pack";"Shenyang F-5 Pack";"Shenyang F-5 Pack";"Shenyang F-5 Pack";"Набор Shenyang F-5";"Shenyang F-5 Pack";"Shenyang F-5 Pack";"Shenyang F-5 Pack";"歼\t-5 \t出\t口\t型\t礼\t包";"Shenyang F-5 Pack";"Shenyang F-5 Pack";"Shenyang F-5 Pack";"Shenyang F-5 Pack";"Shenyang F-5 Pack";"Shenyang F-5 Pack";"Shenyang F-5 Pack";"Shenyang F-5 Pack";"Shenyang F-5 Pack";"Shenyang F-5 Pack";"Shenyang F-5 Pack";;
"charServer/entitlement/wt_uk_g_lynx_pack";"G-Lynx Pack";"G-Lynx Pack";"G-Lynx Pack";"G-Lynx Pack";"G-Lynx Pack";"Набор G-Lynx";"G-Lynx Pack";"G-Lynx Pack";"G-Lynx Pack";"“\tG-\t山\t猫\t”\t礼\t包";"G-Lynx Pack";"G-Lynx Pack";"G-Lynx Pack";"G-Lynx Pack";"G-Lynx Pack";"G-Lynx Pack";"G-Lynx Pack";"G-Lynx Pack";"G-Lynx Pack";"G-Lynx Pack";"G-Lynx Pack";;
"charServer/entitlement/wt_fr_ec_665_tiger_hap_pack";"EC-665 Tiger HAP Pack";"EC-665 Tiger HAP Pack";"EC-665 Tiger HAP Pack";"EC-665 Tiger HAP Pack";"EC-665 Tiger HAP Pack";"Набор EC-665 Tiger HAP";"EC-665 Tiger HAP Pack";"EC-665 Tiger HAP Pack";"EC-665 Tiger HAP Pack";"“\t虎\t”\tHAP \t礼\t包";"EC-665 Tiger HAP Pack";"EC-665 Tiger HAP Pack";"EC-665 Tiger HAP Pack";"EC-665 Tiger HAP Pack";"EC-665 Tiger HAP Pack";"EC-665 Tiger HAP Pack";"EC-665 Tiger HAP Pack";"EC-665 Tiger HAP Pack";"EC-665 Tiger HAP Pack";"EC-665 Tiger HAP Pack";"EC-665 Tiger HAP Pack";;
"charServer/entitlement/t29_release_pack";"T29 Pack";"T29 Pack";"T29 Pack";"T29 Pack";"T29 Pack";"Набор Т29";"T29 Pack";"T29 Pack";"T29 Pack";"T29 \t重\t型\t坦\t克\t礼\t包";"T29 Pack";"T29 Pack";"T29 Pack";"T29 Pack";"T29 Pack";"T29 Pack";"T29 Pack";"T29 Pack";"T29 Pack";"T29 Pack";"T29 Pack";;
"charServer/entitlement/wt_ussr_is_6";"IS-6 Pack";"IS-6 Pack";"IS-6 Pack";"IS-6 Pack";"IS-6 Pack";"Набор ИС-6";"IS-6 Pack";"IS-6 Pack";"IS-6 Pack";"IS-6 \t礼\t包";"IS-6 Pack";"IS-6 Pack";"IS-6 Pack";"IS-6 Pack";"IS-6 Pack";"IS-6 Pack";"IS-6 Pack";"IS-6 Pack";"IS-6 Pack";"IS-6 Pack";"IS-6 Pack";;
"charServer/entitlement/release_object120_pack";"Object 120 Pack";"Object 120 Pack";"Object 120 Pack";"Object 120 Pack";"Object 120 Pack";"Набор Объект 120";"Object 120 Pack";"Object 120 Pack";"Object 120 Pack";"120 \t工\t程\t礼\t包";"Object 120 Pack";"Object 120 Pack";"Object 120 Pack";"Object 120 Pack";"Object 120 Pack";"Object 120 Pack";"Object 120 Pack";"Object 120 Pack";"Object 120 Pack";"Object 120 Pack";"Object 120 Pack";;
"charServer/entitlement/wt_centurion_avre_pack";"AVRE Pack";"AVRE Pack";"AVRE Pack";"AVRE Pack";"AVRE Pack";"Набор AVRE";"AVRE Pack";"AVRE Pack";"AVRE Pack";"皇\t家\t工\t兵\t突\t击\t车\t辆\t礼\t包";"AVRE Pack";"AVRE Pack";"AVRE Pack";"AVRE Pack";"AVRE Pack";"AVRE Pack";"AVRE Pack";"AVRE Pack";"AVRE Pack";"AVRE Pack";"AVRE Pack";;
"charServer/entitlement/wt_xm_1_gm_pack";"XM-1 General Motors Pack";"XM-1 General Motors Pack";"XM-1 General Motors Pack";"XM-1 General Motors Pack";"XM-1 General Motors Pack";"Набор XM-1 General Motors";"XM-1 General Motors Pack";"XM-1 General Motors Pack";"XM-1 General Motors Pack";"XM1\t（\t通\t用\t汽\t车\t）\t礼\t包";"XM-1 General Motors Pack";"XM-1 General Motors Pack";"XM-1 General Motors Pack";"XM-1 General Motors Pack";"XM-1 General Motors Pack";"XM-1 General Motors Pack";"XM-1 General Motors Pack";"XM-1 General Motors Pack";"XM-1 General Motors Pack";"XM-1 General Motors Pack";"XM-1 General Motors Pack";;
"charServer/entitlement/wt_germany_release_leopard_pack";"Leopard Pack";"Leopard Pack";"Leopard Pack";"Leopard Pack";"Leopard Pack";"Набор Leopard";"Leopard Pack";"Leopard Pack";"Leopard Pack";"“\t豹\t”\t礼\t包";"Leopard Pack";"Leopard Pack";"Leopard Pack";"Leopard Pack";"Leopard Pack";"Leopard Pack";"Leopard Pack";"Leopard Pack";"Leopard Pack";"Leopard Pack";"Leopard Pack";;
"charServer/entitlement/wt_ussr_release_t_55am_pack";"T-55AM-1 Pack";"T-55AM-1 Pack";"T-55AM-1 Pack";"T-55AM-1 Pack";"T-55AM-1 Pack";"Набор Т-55АМ-1";"T-55AM-1 Pack";"T-55AM-1 Pack";"T-55AM-1 Pack";"T-55AM-1 \t礼\t包";"T-55AM-1 Pack";"T-55AM-1 Pack";"T-55AM-1 Pack";"T-55AM-1 Pack";"T-55AM-1 Pack";"T-55AM-1 Pack";"T-55AM-1 Pack";"T-55AM-1 Pack";"T-55AM-1 Pack";"T-55AM-1 Pack";"T-55AM-1 Pack";;
"charServer/entitlement/wt_us_f_86f_35_sabre_pack";"Sabre Skyblazers Pack";"Sabre Skyblazers Pack";"Sabre Skyblazers Pack";"Sabre Skyblazers Pack";"Sabre Skyblazers Pack";"Набор Sabre Skyblazers";"Sabre Skyblazers Pack";"Sabre Skyblazers Pack";"Sabre Skyblazers Pack";"“\t天\t空\t传\t播\t者\t“\t礼\t包";"Sabre Skyblazers Pack";"Sabre Skyblazers Pack";"Sabre Skyblazers Pack";"Sabre Skyblazers Pack";"Sabre Skyblazers Pack";"Sabre Skyblazers Pack";"Sabre Skyblazers Pack";"Sabre Skyblazers Pack";"Sabre Skyblazers Pack";"Sabre Skyblazers Pack";"Sabre Skyblazers Pack";;
"charServer/entitlement/wt_uk_shot_kal_dalet_pack";"Sho’t Kal Dalet Pack";"Sho’t Kal Dalet Pack";"Sho’t Kal Dalet Pack";"Sho’t Kal Dalet Pack";"Sho’t Kal Dalet Pack";"Набор Sho’t Kal Dalet";"Sho’t Kal Dalet Pack";"Sho’t Kal Dalet Pack";"Sho’t Kal Dalet Pack";"“\t绍\t特\t”\t卡\t尔\t Dalet \t型\t礼\t包";"Sho’t Kal Dalet Pack";"Sho’t Kal Dalet Pack";"Sho’t Kal Dalet Pack";"Sho’t Kal Dalet Pack";"Sho’t Kal Dalet Pack";"Sho’t Kal Dalet Pack";"Sho’t Kal Dalet Pack";"Sho’t Kal Dalet Pack";"Sho’t Kal Dalet Pack";"Sho’t Kal Dalet Pack";"Sho\t’\tt Kal Dalet Pack";;
"charServer/entitlement/wt_germany_sea_hawk_mk100_pack";"Sea Hawk Pack";"Sea Hawk Pack";"Sea Hawk Pack";"Sea Hawk Pack";"Sea Hawk Pack";"Набор Sea Hawk";"Sea Hawk Pack";"Sea Hawk Pack";"Sea Hawk Pack";"“\t海\t鹰\t”\t礼\t包";"Sea Hawk Pack";"Sea Hawk Pack";"Sea Hawk Pack";"Sea Hawk Pack";"Sea Hawk Pack";"Sea Hawk Pack";"Sea Hawk Pack";"Sea Hawk Pack";"Sea Hawk Pack";"Sea Hawk Pack";"Sea Hawk Pack";;
"charServer/entitlement/wt_japan_pg_02_pack";"PG 02 Pack";"PG 02 Pack";"PG 02 Pack";"PG 02 Pack";"PG 02 Pack";"Набор PG 02";"PG 02 Pack";"PG 02 Pack";"PG 02 Pack";"导\t弹\t艇\t 2 \t号\t礼\t包";"PG 02 Pack";"PG 02 Pack";"PG 02 Pack";"PG 02 Pack";"PG 02 Pack";"PG 02 Pack";"PG 02 Pack";"PG 02 Pack";"PG 02 Pack";"PG 02 Pack";"PG 02 Pack";;
"charServer/entitlement/wt_it_of_40_pack";"OF-40 Mk.2 (MTCA) Pack";"OF-40 Mk.2 (MTCA) Pack";"OF-40 Mk.2 (MTCA) Pack";"OF-40 Mk.2 (MTCA) Pack";"OF-40 Mk.2 (MTCA) Pack";"Набор OF-40 Mk.2 (MTCA)";"OF-40 Mk.2 (MTCA) Pack";"OF-40 Mk.2 (MTCA) Pack";"OF-40 Mk.2 (MTCA) Pack";"OF40 (MTCA) \t礼\t包";"OF-40 Mk.2 (MTCA) Pack";"OF-40 Mk.2 (MTCA) Pack";"OF-40 Mk.2 (MTCA) Pack";"OF-40 Mk.2 (MTCA) Pack";"OF-40 Mk.2 (MTCA) Pack";"OF-40 Mk.2 (MTCA) Pack";"OF-40 Mk.2 (MTCA) Pack";"OF-40 Mk.2 (MTCA) Pack";"OF-40 Mk.2 (MTCA) Pack";"OF-40 Mk.2 (MTCA) Pack";"OF-40 Mk.2 (MTCA) Pack";;
"charServer/entitlement/wt_cn_m4a4_sherman_pack";"M4A4 Sherman Pack";"M4A4 Sherman Pack";"M4A4 Sherman Pack";"M4A4 Sherman Pack";"M4A4 Sherman Pack";"Набор M4A4 Sherman";"M4A4 Sherman Pack";"M4A4 Sherman Pack";"M4A4 Sherman Pack";"M4A4\t“\t谢\t尔\t曼\t”\t礼\t包";"M4A4 Sherman Pack";"M4A4 Sherman Pack";"M4A4 Sherman Pack";"M4A4 Sherman Pack";"M4A4 Sherman Pack";"M4A4 Sherman Pack";"M4A4 Sherman Pack";"M4A4 Sherman Pack";"M4A4 Sherman Pack";"M4A4 Sherman Pack";"M4A4 Sherman Pack";;
"charServer/entitlement/wt_ussr_mig_17_cuba_pack";"MiG-17AS Pack";"MiG-17AS Pack";"MiG-17AS Pack";"MiG-17AS Pack";"MiG-17AS Pack";"Набор МиГ-17АС";"MiG-17AS Pack";"MiG-17AS Pack";"MiG-17AS Pack";"米\t格\t-17AS \t礼\t包";"MiG-17AS Pack";"MiG-17AS Pack";"MiG-17AS Pack";"MiG-17AS Pack";"MiG-17AS Pack";"MiG-17AS Pack";"MiG-17AS Pack";"MiG-17AS Pack";"MiG-17AS Pack";"MiG-17AS Pack";"MiG-17AS Pack";;
"charServer/entitlement/wt_ussr_ka_50_pack";"Black Shark Pack";"Black Shark Pack";"Black Shark Pack";"Black Shark Pack";"Black Shark Pack";"Набор Черная акула";"Black Shark Pack";"Black Shark Pack";"Black Shark Pack";"“\t黑\t鲨\t”\t礼\t包";"Black Shark Pack";"Black Shark Pack";"Black Shark Pack";"Black Shark Pack";"Black Shark Pack";"Black Shark Pack";"Black Shark Pack";"Black Shark Pack";"Black Shark Pack";"Black Shark Pack";"Black Shark Pack";;
"charServer/entitlement/wt_sv_vl_pyorremyrsky_pack";"VL Pyorremyrsky Pack";"VL Pyorremyrsky Pack";"VL Pyorremyrsky Pack";"VL Pyorremyrsky Pack";"VL Pyorremyrsky Pack";"Набор VL Pyorremyrsky";"VL Pyorremyrsky Pack";"VL Pyorremyrsky Pack";"VL Pyorremyrsky Pack";"“\t飓\t风\t”\t礼\t包";"VL Pyorremyrsky Pack";"VL Pyorremyrsky Pack";"VL Pyorremyrsky Pack";"VL Pyorremyrsky Pack";"VL Pyorremyrsky Pack";"VL Pyorremyrsky Pack";"VL Pyorremyrsky Pack";"VL Pyorremyrsky Pack";"VL Pyorremyrsky Pack";"VL Pyorremyrsky Pack";"VL Pyorremyrsky Pack";;
"charServer/entitlement/wt_sv_saab_j29d_pack";"Saab J-29D Pack";"Saab J-29D Pack";"Saab J-29D Pack";"Saab J-29D Pack";"Saab J-29D Pack";"Набор Saab J-29D";"Saab J-29D Pack";"Saab J-29D Pack";"Saab J-29D Pack";"J 29D \t礼\t包";"Saab J-29D Pack";"Saab J-29D Pack";"Saab J-29D Pack";"Saab J-29D Pack";"Saab J-29D Pack";"Saab J-29D Pack";"Saab J-29D Pack";"Saab J-29D Pack";"Saab J-29D Pack";"Saab J-29D Pack";"Saab J-29D Pack";;
"charServer/entitlement/wt_it_a129_mangusta_pack";"Mangusta Pack";"Mangusta Pack";"Mangusta Pack";"Mangusta Pack";"Mangusta Pack";"Набор Mangusta";"Mangusta Pack";"Mangusta Pack";"Mangusta Pack";"A129 \t礼\t包";"Mangusta Pack";"Mangusta Pack";"Mangusta Pack";"Mangusta Pack";"Mangusta Pack";"Mangusta Pack";"Mangusta Pack";"Mangusta Pack";"Mangusta Pack";"Mangusta Pack";"Mangusta Pack";;
"charServer/entitlement/wt_uk_hunter_fga_9_pack";"Hunter FGA.9 Pack";"Hunter FGA.9 Pack";"Hunter FGA.9 Pack";"Hunter FGA.9 Pack";"Hunter FGA.9 Pack";"Набор Hunter FGA.9";"Hunter FGA.9 Pack";"Hunter FGA.9 Pack";"Hunter FGA.9 Pack";"“\t猎\t人\t”\tFGA.9 \t礼\t包";"Hunter FGA.9 Pack";"Hunter FGA.9 Pack";"Hunter FGA.9 Pack";"Hunter FGA.9 Pack";"Hunter FGA.9 Pack";"Hunter FGA.9 Pack";"Hunter FGA.9 Pack";"Hunter FGA.9 Pack";"Hunter FGA.9 Pack";"Hunter FGA.9 Pack";"Hunter FGA.9 Pack";;
"charServer/entitlement/wt_sw_strv_103_0_pack";"Strv 103-0 Pack";"Strv 103-0 Pack";"Strv 103-0 Pack";"Strv 103-0 Pack";"Strv 103-0 Pack";"Набор Strv 103-0";"Strv 103-0 Pack";"Strv 103-0 Pack";"Strv 103-0 Pack";"103 \t型\t坦\t克\t（\t0 \t批\t次\t）\t礼\t包";"Strv 103-0 Pack";"Strv 103-0 Pack";"Strv 103-0 Pack";"Strv 103-0 Pack";"Strv 103-0 Pack";"Strv 103-0 Pack";"Strv 103-0 Pack";"Strv 103-0 Pack";"Strv 103-0 Pack";"Strv 103-0 Pack";"Strv 103-0 Pack";;
"charServer/entitlement/sw_sav_fm48_pack";"SAV 20.12.48 Pack";"SAV 20.12.48 Pack";"SAV 20.12.48 Pack";"SAV 20.12.48 Pack";"SAV 20.12.48 Pack";"Набор SAV 20.12.48";"SAV 20.12.48 Pack";"SAV 20.12.48 Pack";"SAV 20.12.48 Pack";"20.12.48 \t自\t行\t突\t击\t炮\t礼\t包";"SAV 20.12.48 Pack";"SAV 20.12.48 Pack";"SAV 20.12.48 Pack";"SAV 20.12.48 Pack";"SAV 20.12.48 Pack";"SAV 20.12.48 Pack";"SAV 20.12.48 Pack";"SAV 20.12.48 Pack";"SAV 20.12.48 Pack";"SAV 20.12.48 Pack";"SAV 20.12.48 Pack";;
"charServer/entitlement/wt_germany_prinz_eugen_pack";"Prinz Eugen Pack";"Prinz Eugen Pack";"Prinz Eugen Pack";"Prinz Eugen Pack";"Prinz Eugen Pack";"Набор Prinz Eugen";"Prinz Eugen Pack";"Prinz Eugen Pack";"Prinz Eugen Pack";"“\t欧\t根\t亲\t王\t”\t礼\t包";"Prinz Eugen Pack";"Prinz Eugen Pack";"Prinz Eugen Pack";"Prinz Eugen Pack";"Prinz Eugen Pack";"Prinz Eugen Pack";"Prinz Eugen Pack";"Prinz Eugen Pack";"Prinz Eugen Pack";"Prinz Eugen Pack";"Prinz Eugen Pack";;
"charServer/entitlement/wt_ussr_beginners_pack_2019";"USSR Beginner's Pack";"USSR Beginner's Pack";"USSR Beginner's Pack";"USSR Beginner's Pack";"USSR Beginner's Pack";"Набор Новобранца СССР";"USSR Beginner's Pack";"USSR Beginner's Pack";"USSR Beginner's Pack";"苏\t联\t入\t门\t礼\t包";"USSR Beginner's Pack";"USSR Beginner's Pack";"USSR Beginner's Pack";"USSR Beginner's Pack";"USSR Beginner's Pack";"USSR Beginner's Pack";"USSR Beginner's Pack";"USSR Beginner's Pack";"USSR Beginner's Pack";"USSR Beginner's Pack";"USSR Beginner's Pack";;
"charServer/entitlement/wt_germany_beginners_pack_2019";"German Beginner's Pack";"German Beginner's Pack";"German Beginner's Pack";"German Beginner's Pack";"German Beginner's Pack";"Набор Новобранца Германии";"German Beginner's Pack";"German Beginner's Pack";"German Beginner's Pack";"德\t国\t入\t门\t礼\t包";"German Beginner's Pack";"German Beginner's Pack";"German Beginner's Pack";"German Beginner's Pack";"German Beginner's Pack";"German Beginner's Pack";"German Beginner's Pack";"German Beginner's Pack";"German Beginner's Pack";"German Beginner's Pack";"German Beginner's Pack";;
"charServer/entitlement/wt_japan_beginners_pack_2020";"Japanese Beginner's Pack";"Japanese Beginner's Pack";"Japanese Beginner's Pack";"Japanese Beginner's Pack";"Japanese Beginner's Pack";"Набор Новобранца Японии";"Japanese Beginner's Pack";"Japanese Beginner's Pack";"Japanese Beginner's Pack";"日\t本\t入\t门\t礼\t包";"Japanese Beginner's Pack";"Japanese Beginner's Pack";"Japanese Beginner's Pack";"Japanese Beginner's Pack";"Japanese Beginner's Pack";"Japanese Beginner's Pack";"Japanese Beginner's Pack";"Japanese Beginner's Pack";"Japanese Beginner's Pack";"Japanese Beginner's Pack";"Japanese Beginner's Pack";;
"charServer/entitlement/wt_britain_beginners_pack_2020";"British Beginner's Pack";"British Beginner's Pack";"British Beginner's Pack";"British Beginner's Pack";"British Beginner's Pack";"Набор Новобранца Великобритании";"British Beginner's Pack";"British Beginner's Pack";"British Beginner's Pack";"英\t国\t入\t门\t礼\t包";"British Beginner's Pack";"British Beginner's Pack";"British Beginner's Pack";"British Beginner's Pack";"British Beginner's Pack";"British Beginner's Pack";"British Beginner's Pack";"British Beginner's Pack";"British Beginner's Pack";"British Beginner's Pack";"British Beginner's Pack";;
"charServer/entitlement/wt_uk_rooikat_105_pack";"Rooikat 105 Pack";"Rooikat 105 Pack";"Rooikat 105 Pack";"Rooikat 105 Pack";"Rooikat 105 Pack";"Набор Rooikat 105";"Rooikat 105 Pack";"Rooikat 105 Pack";"Rooikat 105 Pack";"“\t大\t山\t猫\t”\t/105 \t毫\t米\t礼\t包";"Rooikat 105 Pack";"Rooikat 105 Pack";"Rooikat 105 Pack";"Rooikat 105 Pack";"Rooikat 105 Pack";"Rooikat 105 Pack";"Rooikat 105 Pack";"Rooikat 105 Pack";"Rooikat 105 Pack";"Rooikat 105 Pack";"Rooikat 105 Pack";;
"charServer/entitlement/wt_usa_ah_64a_peten_pack";"Apache Pack";"Apache Pack";"Apache Pack";"Apache Pack";"Apache Pack";"Набор Apache";"Apache Pack";"Apache Pack";"Apache Pack";"“\t阿\t帕\t奇\t”\t礼\t包";"Apache Pack";"Apache Pack";"Apache Pack";"Apache Pack";"Apache Pack";"Apache Pack";"Apache Pack";"Apache Pack";"Apache Pack";"Apache Pack";"Apache Pack";;
"charServer/entitlement/wt_sw_cv_90105_tml_pack";"CV 90105 TML Pack";"CV 90105 TML Pack";"CV 90105 TML Pack";"CV 90105 TML Pack";"CV 90105 TML Pack";"Набор CV 90105 TML";"CV 90105 TML Pack";"CV 90105 TML Pack";"CV 90105 TML Pack";"CV90105 TML \t礼\t包";"CV 90105 TML Pack";"CV 90105 TML Pack";"CV 90105 TML Pack";"CV 90105 TML Pack";"CV 90105 TML Pack";"CV 90105 TML Pack";"CV 90105 TML Pack";"CV 90105 TML Pack";"CV 90105 TML Pack";"CV 90105 TML Pack";"CV 90105 TML Pack";;
"charServer/entitlement/it_geniere_pack";"Geniere Pack";"Geniere Pack";"Geniere Pack";"Geniere Pack";"Geniere Pack";"Набор Geniere";"Geniere Pack";"Geniere Pack";"Geniere Pack";"“\t工\t兵\t”\t礼\t包";"Geniere Pack";"Geniere Pack";"Geniere Pack";"Geniere Pack";"Geniere Pack";"Geniere Pack";"Geniere Pack";"Geniere Pack";"Geniere Pack";"Geniere Pack";"Geniere Pack";;
"charServer/entitlement/it_p420_sparviero_pack";"P 420 Sparviero Pack";"P 420 Sparviero Pack";"P 420 Sparviero Pack";"P 420 Sparviero Pack";"P 420 Sparviero Pack";"Набор P 420 Sparviero";"P 420 Sparviero Pack";"P 420 Sparviero Pack";"P 420 Sparviero Pack";"P420\t“\t食\t雀\t鹰\t”\t礼\t包";"P 420 Sparviero Pack";"P 420 Sparviero Pack";"P 420 Sparviero Pack";"P 420 Sparviero Pack";"P 420 Sparviero Pack";"P 420 Sparviero Pack";"P 420 Sparviero Pack";"P 420 Sparviero Pack";"P 420 Sparviero Pack";"P 420 Sparviero Pack";"P 420 Sparviero Pack";;
"charServer/entitlement/cn_type_69_2g_pack";"Type 69-IIG Pack";"Type 69-IIG Pack";"Type 69-IIG Pack";"Type 69-IIG Pack";"Type 69-IIG Pack";"Набор Type 69-IIG";"Type 69-IIG Pack";"Type 69-IIG Pack";"Type 69-IIG Pack";"69-IIG \t礼\t包";"Type 69-IIG Pack";"Type 69-IIG Pack";"Type 69-IIG Pack";"Type 69-IIG Pack";"Type 69-IIG Pack";"Type 69-IIG Pack";"Type 69-IIG Pack";"Type 69-IIG Pack";"Type 69-IIG Pack";"Type 69-IIG Pack";"Type 69-IIG Pack";;
"charServer/entitlement/wt_italian_ships_cbt_decal";"Emblem of the Navy of the Kingdom of Italy";"Emblem of the Navy of the Kingdom of Italy";"Emblem of the Navy of the Kingdom of Italy";"Emblem of the Navy of the Kingdom of Italy";"Emblem of the Navy of the Kingdom of Italy";"Эмблема Королевского флота Италии";"Emblem of the Navy of the Kingdom of Italy";"Emblem of the Navy of the Kingdom of Italy";"Emblem of the Navy of the Kingdom of Italy";"意\t大\t利\t皇\t家\t海\t军\t徽\t标";"Emblem of the Navy of the Kingdom of Italy";"Emblem of the Navy of the Kingdom of Italy";"Emblem of the Navy of the Kingdom of Italy";"Emblem of the Navy of the Kingdom of Italy";"Emblem of the Navy of the Kingdom of Italy";"Emblem of the Navy of the Kingdom of Italy";"Emblem of the Navy of the Kingdom of Italy";"Emblem of the Navy of the Kingdom of Italy";"Emblem of the Navy of the Kingdom of Italy";"Emblem of the Navy of the Kingdom of Italy";"Emblem of the Navy of the Kingdom of Italy";;
"charServer/entitlement/invader_pack_ps_prem";"Invader Pack";"Invader Pack";"Invader Pack";"Invader Pack";"Invader Pack";"Набор Invader";"Invader Pack";"Invader Pack";"Invader Pack";"“\t入\t侵\t者\t”\t礼\t包";"Invader Pack";"Invader Pack";"Invader Pack";"Invader Pack";"Invader Pack";"Invader Pack";"Invader Pack";"Invader Pack";"Invader Pack";"Invader Pack";"Invader Pack";;
"charServer/entitlement/jpn_pacific_41_43_ps_prem";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Тихоокеанская кампания за Японию (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"日\t本\t太\t平\t洋\t战\t役\t（\t1941 - 1942\t）";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";;
