"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"item/discount/description/weapons/all_premium";"{discount} discount on secondary weapon purchase for any premium vehicle{countryNameOptional}.";"Remise de {discount} sur l'achat d'armes secondaires pour tout véhicule premium{countryNameOptional}.";"{discount} di sconto sull'acquisto di armi secondarie per qualsiasi unità premium{countryNameOptional}.";"{discount} Rabatt auf den Kauf sekundärer Bewaffnung für jegliches Premiumfahrzeug{countryNameOptional}.";"{discount} de descuento en la compra de un arma secundaria para cualquier vehículo premium{countryNameOptional}.";"Скидка {discount} на покупку подвесного оружия для любой премиумной техники{countryNameOptional}.";"{discount} zniżki na zakup dodatkowego uzbrojenia dla dowolnej maszyny premium {countryNameOptional}.";"{discount} sleva na nákup přídavné výzbroje pro jakýkoliv prémiový stroj {countryNameOptional}";"Herhangi bir premium araca{countryNameOptional} ikinci silah alımı için {discount} indirim.";"购\t买\t任\t意\t{countryNameOptional}\t高\t级\t载\t具\t的\t副\t武\t器\t享\t受\t {discount} \t优\t惠";"プレミアム\t機体・\t車両{countryNameOptional}の\t補助兵器購入を{discount}割引。";"{discount} de desconto em armamentos secundários de qualquer veículo premium{countryNameOptional}.";"{discount} discount on secondary weapon purchase for any premium vehicle{countryNameOptional}.";"Знижка {discount} на придбання підвісного озброєння для будь-якої преміумної техніки{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na kupovinu sekundarnog oružja za sva premijum vozila {countryNameOptional}.";"{discount} kedvezmény másodlagos fegyver vásárlására bármelyik prémiumjárműhöz. {countryNameOptional}";"모든 프리미엄 장비의 보조 무장 구입비 {discount} 할인{countryNameOptional}";"Зніжка {discount} на куплю падвеснага ўзбраення для любой прэміумнай тэхнікі {countryNameOptional}.";"{discount} reducere pentru cumpărarea armelor secundare pentru orice vehicul special {countryNameOptional}.";"購買高級載具 {countryNameOptional} 的副武器享有 {discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional}\t高\t级\t载\t具\t的\t副\t武\t器\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/weapons/rank";"{discount} discount on secondary weapon purchase for any vehicle of rank {rank}{countryNameOptional}.";"Remise de {discount} sur l'achat d'armes secondaires pour tout véhicule de rang {rank}{countryNameOptional}.";"{discount} di sconto sull'acquisto di armi secondarie per qualsiasi unità di ERA{rank}{countryNameOptional}.";"{discount} Rabatt auf den Kauf sekundärer Bewaffnung für jegliches Rang-{rank}-Fahrzeug{countryNameOptional}.";"{discount} de descuento en la compra de un arma secundaria para cualquier vehículo de rango {rank}{countryNameOptional}.";"Скидка {discount} на покупку подвесного оружия для любой техники {rank} ранга{countryNameOptional}.";"{discount} zniżki na zakup dodatkowego uzbrojenia dla dowolnej maszyny {rank} ery  {countryNameOptional}.";"{discount} sleva na nákup přídavné výzbroje pro jakýkoliv stroj {rank}. úrovně {countryNameOptional}";"Herhangi bir seviye {rank} araca{countryNameOptional} ikinci silah alımı için {discount} indirim.";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t载\t具\t的\t副\t武\t器\t享\t受\t {discount} \t优\t惠";"機体・\t車両の\tランク{rank}{countryNameOptional}の\t補助兵器購入を{discount}割引。";"{discount} de desconto em armamentos secundários de qualquer veículo de nível {rank}{countryNameOptional}.";"{discount} discount on secondary weapon purchase for any vehicle of rank {rank}{countryNameOptional}.";"Знижка {discount} на придбання підвісного озброєння для будь-якої техніки {rank} рангу{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na kupovinu sekundarnog oružja za bilo koje vozilo {rank} ranga {countryNameOptional}.";"{discount} kedvezmény másodlagos fegyver vásárlására bármelyik {rank}. rangú járműhöz. {countryNameOptional}";"모든 {rank}랭크 장비의 보조 무장 구입비 {discount} 할인{countryNameOptional}";"Зніжка {discount} на куплю падвеснага ўзбраення для любой тэхнікі {rank} рангу {countryNameOptional}.";"{discount} reducere pentru cumpărarea armelor secundare pentru orice vehicul de rang {rank} {countryNameOptional}.";"購買任意 {rank} 級載具 {countryNameOptional} 的副武器享有 {discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t载\t具\t的\t副\t武\t器\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/weapons/rank_premium";"{discount} discount on secondary weapon purchase for any premium vehicle of rank {rank}{countryNameOptional}.";"Remise de {discount} sur l'achat d'armes secondaires pour tout véhicule premium de rang {rank}{countryNameOptional}.";"{discount} di sconto sull'acquisto di armi secondarie per qualsiasi unità premium di ERA{rank}{countryNameOptional}.";"{discount} Rabatt auf den Kauf sekundärer Bewaffnung für jegliches Rang-{rank}-Premiumfahrzeug{countryNameOptional}.";"{discount}de descuento en la compra de un arma secundaria para cualquier vehículo premium de rango {rank}{countryNameOptional}.";"Скидка {discount} на покупку подвесного оружия для любой премиумной техники {rank} ранга{countryNameOptional}.";"{discount} zniżki na zakup dodatkowego uzbrojenia dla dowolnej maszyny premium {rank} ery  {countryNameOptional}.";"{discount} sleva na nákup přídavné výzbroje pro jakýkoliv prémiový stroj {rank}. úrovně {countryNameOptional}";"Herhangi bir seviye {rank} premium araca{countryNameOptional} ikinci silah alımı için {discount} indirim.";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t高\t级\t载\t具\t的\t副\t武\t器\t享\t受\t {discount} \t优\t惠";"プレミアム\t機体・\t車両の\tランク{rank}{countryNameOptional}の\t補助兵器購入を{discount}割引。";"{discount} de desconto em armamentos secundários de qualquer veículo premium de nível {rank}{countryNameOptional}.";"{discount} discount on secondary weapon purchase for any premium vehicle of rank {rank}{countryNameOptional}.";"Знижка {discount} на придбання підвісного озброєння для будь-якої преміумної техніки {rank} рангу{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na kupovinu sekundarnog oružja za bilo koje premijum vozilo {rank} ranga {countryNameOptional}.";"{discount} kedvezmény másodlagos fegyver vásárlására bármelyik {rank}. rangú prémiumjárműhöz. {countryNameOptional}";"모든 {rank}랭크 프리미엄 장비의 보조 무장 구입비 {discount} 할인{countryNameOptional}";"Зніжка {discount} на куплю падвеснага ўзбраення для любой прэміумнай тэхнікі {rank} рангу {countryNameOptional}.";"{discount} reducere pentru cumpărarea armelor secundare pentru orice vehicul special de rang {rank} {countryNameOptional}.";"購買任意 {rank} 級高級載具 {countryNameOptional} 的副武器享有 {discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t高\t级\t载\t具\t的\t副\t武\t器\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/weapons/aircraft";"{discount} discount on secondary weapon purchase for vehicle: <color=@userlogColoredText>{aircraftName}</color>";"Remisde de {discount} sur l'achat d'armes secondaires pour le véhicule : <color=@userlogColoredText>{aircraftName}</color>";"{discount} di sconto sull'acquisto di armi secondarie per l'unità: <color=@userlogColoredText>{aircraftName}</color>";"{discount} Rabatt auf den Kauf sekundärer Bewaffnung für Fahrzeug: <color=@userlogColoredText>{aircraftName}</color>";"{discount} de descuento en la compra de un arma secundaria para el vehículo: <color=@userlogColoredText>{aircraftName}</color>";"Скидка {discount} на покупку подвесного оружия для техники: <color=@userlogColoredText>{aircraftName}</color>";"{discount} zniżki na zakup dodatkowego uzbrojenia dla: <color=@userlogColoredText>{aircraftName}</color>";"{discount} sleva na nákup přídavné výzbroje pro stroj <color=@userlogColoredText>{aircraftName}</color>";"Araca ikinci silah alımı için {discount} indirim: <color=@userlogColoredText>{aircraftName}</color>";"购\t买\t <color=@userlogColoredText>{aircraftName}</color> \t的\t副\t武\t器\t享\t受\t {discount} \t优\t惠";"機体・\t車両の\t補助兵器購入を{discount}割引: <color=@userlogColoredText>{aircraftName}</color>";"{discount} de desconto em armamentos secundários do veículo: <color=@userlogColoredText>{aircraftName}</color>";"{discount} discount on secondary weapon purchase for vehicle: <color=@userlogColoredText>{aircraftName}</color>";"Знижка {discount} на придбання підвісного озброєння для техніки: <color=@userlogColoredText>{aircraftName}</color>";"<color=@userlogColoredText>{discount}%</color> popust na kupovinu sekundarnog oružja za vozilo: <color=@userlogColoredText>{aircraftName}</color>";"{discount} kedvezmény másodlagos fegyver vásárlására a(z) <color=@userlogColoredText>{aircraftName}</color> járműhöz.";"<color=@userlogColoredText>{aircraftName}</color>의 보조 무장 구입비 {discount} 할인";"Зніжка {discount} на куплю падвеснага ўзбраення для тэхнікі: <color=@userlogColoredText>{aircraftName}</color>";"{discount} reducere pentru cumpărarea armelor secundare pentru: <color=@userlogColoredText>{aircraftName}</color>";"購買載具 <color=@userlogColoredText>{aircraftName}</color> 的副武器享有 {discount} 折扣優惠。";"购\t买\t <color=@userlogColoredText>{aircraftName}</color> \t的\t副\t武\t器\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/weapons/aircraft/multiple";"Up to {discount} discount on secondary weapon purchase for vehicles.";"Jusqu'à {discount} de remise sur l'achat d'armes secondaires pour les véhicules.";"Fino al {discount} di sconto sull'acquisto di armi secondarie.";"Bis zu {discount} Rabatt auf den Kauf sekundärer Bewaffnung für Fahrzeuge.";"Hasta un {discount} de descuento en la compra de un arma secundaria para vehículos.";"Скидка до {discount} на покупку подвесного оружия для техники.";"Do {discount} zniżki na zakup dodatkowego uzbrojenia dla maszyn.";"Až {discount} na nákup přídavné výzbroje pro stroje";"Araçlara ikinci silah alımı için {discount}'a varan indirim.";"购\t买\t副\t武\t器\t最\t高\t享\t受\t {discount} \t优\t惠";"機体・\t車両の\t補助兵器購入を\t最大{discount}割引。";"Até {discount} de desconto em armamentos secundários de veículos.";"Up to {discount} discount on secondary weapon purchase for vehicles.";"Знижка до {discount} на придбання підвісного озброєння для техніки.";"Popust na kupovinu sekundarnog oružja za vozila do <color=@userlogColoredText>{discount}%</color> .";"Akár {discount} kedvezmény másodlagos fegyverek vásárlására.";"보조 무장 최대 {discount} 할인";"Зніжка да {discount} на куплю падвеснага ўзбраення для тэхнікі.";"Până la {discount} reducere pentru cumpărarea armelor secundare pentru vehicule.";"購買副武器最高享受 {discount} 優惠。";"购\t买\t副\t武\t器\t最\t高\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/specialization_premium/all";"{discount} discount on ""Ace"" crew qualification for any vehicle{countryNameOptional}.";"Remise de {discount} sur la qualification ""Ace"" de l'équipage pour n'importe quel véhicule{countryNameOptional}.";"{discount} di sconto sulla qualifica ""Asso"" per gli equipaggi di qualsiasi unità{countryNameOptional}.";"{discount} Rabatt auf die Qualifikation 'Ass' für jegliches Fahrzeug{countryNameOptional}.";"{discount}de descuento en calificación de tripulación como ""As"" para cualquier vehículo{countryNameOptional}.";"Скидка {discount} на покупку квалификации экипажа ""Ас"" для любой техники{countryNameOptional}.";"{discount} zniżki na kwalifikację załogi „As” dla dowolnej maszyny{countryNameOptional}.";"{discount} sleva na kvalifikaci ""Eso"" pro jakýkoliv stroj {countryNameOptional}";"Herhangi bir araca{countryNameOptional} ""As"" mürettebat niteliği için {discount} indirim.";"购\t买\t任\t意\t{countryNameOptional}\t载\t具\t的\t“\t王\t牌\t认\t证\t资\t格\t”\t享\t受\t {discount} \t优\t惠";"機体・\t車両{countryNameOptional}の「エース」\t乗員資格を{discount}割引。";"{discount} de desconto na qualificação ''Ás'' de qualquer veículo{countryNameOptional}.";"{discount} discount on ""Ace"" crew qualification for any vehicle{countryNameOptional}.";"Знижка {discount} на придбання кваліфікації екіпажу ""Ас"" для будь-якої техніки{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na ""As"" kvalifikaciju posade za sva vozila {countryNameOptional}.";"{discount} kedvezmény ász legénységi képzettségre bármelyik járműhöz. {countryNameOptional}";"모든 장비 승무원의 ""에이스"" 자격 취득 {discount} 할인{countryNameOptional}";"Зніжка {discount} на павышэнне кваліфікацыі экіпажу да «Ас» для любой тэхнікі {countryNameOptional}.";"{discount} reducere pentru calificarea ca „As” a echipajului pentru orice vehicul {countryNameOptional}.";"任意載具 {countryNameOptional} 乘員組""王牌""資格享有 {discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional}\t载\t具\t的\t“\t王\t牌\t认\t证\t资\t格\t”\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/specialization_premium/all_premium";"{discount} discount on ""Ace"" crew qualification for any premium vehicle{countryNameOptional}.";"Remise de {discount} sur la qualification ""Ace"" de l'équipage pour n'importe quel véhicule premium{countryNameOptional}.";"{discount} di sconto sulla qualifica ""Asso"" per gli equipaggi di qualsiasi unità premium{countryNameOptional}.";"{discount} Rabatt auf die Qualifikation 'Ass' für jegliches Premiumfahrzeug{countryNameOptional}.";"{discount}de descuento en calificación de tripulación como ""As"" para cualquier vehículo premium{countryNameOptional}.";"Скидка {discount} на покупку квалификации экипажа ""Ас"" для любой премиумной техники{countryNameOptional}.";"{discount} zniżki na kwalifikację załogi „As” dla dowolnej maszyny premium {countryNameOptional}.";"{discount} sleva na kvalifikaci ""Eso"" pro jakýkoliv prémiový stroj {countryNameOptional}";"Herhangi bir premium araca{countryNameOptional} ""As"" mürettebat niteliği için {discount} indirim.";"购\t买\t任\t意\t{countryNameOptional}\t高\t级\t载\t具\t的\t“\t王\t牌\t认\t证\t资\t格\t”\t享\t受\t {discount} \t优\t惠";"プレミアム\t機体・\t車両{countryNameOptional}の「エース」\t乗員資格を{discount}割引。";"{discount} de desconto na qualificação ''Ás'' de qualquer veículo premium{countryNameOptional}.";"{discount} discount on ""Ace"" crew qualification for any premium vehicle{countryNameOptional}.";"Знижка {discount} на придбання кваліфікації екіпажу ""Ас"" для будь-якої преміумної техніки{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na ""As"" kvalifikaciju posade za sva premijum vozila {countryNameOptional}.";"{discount} kedvezmény ász legénységi képzettségre bármelyik prémiumjárműhöz. {countryNameOptional}";"모든 프리미엄 장비 승무원의 ""에이스"" 자격 취득 {discount} 할인{countryNameOptional}";"Зніжка {discount} на павышэнне кваліфікацыі экіпажу да «Ас» для любой прэміумнай тэхнікі {countryNameOptional}.";"{discount} reducere pentru calificarea ca „As” a echipajului pentru orice vehicul special {countryNameOptional}.";"任意高級載具 {countryNameOptional} 乘員組""王牌""資格享有 {discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional}\t高\t级\t载\t具\t的\t“\t王\t牌\t认\t证\t资\t格\t”\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/specialization_premium/rank";"{discount} discount on ""Ace"" crew qualification for any vehicle of rank {rank}{countryNameOptional}.";"Remise de {discount} sur la qualification ""Ace"" de l'équipage pour n'importe quel véhicule de rang {rank}{countryNameOptional}.";"{discount} di sconto sulla qualifica ""Asso"" per gli equipaggi di qualsiasi unità di ERA{rank} {countryNameOptional}.";"{discount} Rabatt auf die Qualifikation 'Ass' für jegliches Rang-{rank}-Fahrzeug{countryNameOptional}.";"{discount}de descuento en calificación de tripulación como ""As"" para cualquier vehículo de rango {rank}{countryNameOptional}.";"Скидка {discount} на покупку квалификации экипажа ""Ас"" для любой техники {rank} ранга{countryNameOptional}.";"{discount} zniżki na kwalifikację załogi ""As"" dla dowolnej maszyny z {rank} ery {countryNameOptional}.";"{discount} sleva na kvalifikaci ""Eso"" pro jakýkoliv stroj {rank}. úrovně {countryNameOptional}";"Herhangi bir seviye {rank} araca{countryNameOptional} ""As"" mürettebat niteliği için {discount} indirim.";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t载\t具\t的\t“\t王\t牌\t认\t证\t资\t格\t”\t享\t受\t {discount} \t优\t惠";"機体・\t車両の\tランク{rank}{countryNameOptional}の「エース」\t乗員資格を{discount}割引。";"{discount} de desconto na qualificação ''Ás'' de qualquer veículo de nível {rank}{countryNameOptional}.";"{discount} discount on ""Ace"" crew qualification for any vehicle of rank {rank}{countryNameOptional}.";"Знижка {discount} на придбання кваліфікації екіпажу ""Ас"" для будь-якої техніки {rank} рангу{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na ""As"" kvalifikaciju posade za sva vozila {rank} ranga {countryNameOptional}.";"{discount} kedvezmény ász legénységi képzettségre bármelyik {rank}. rangú járműhöz. {countryNameOptional}";"모든 {rank}랭크 장비 승무원의 ""에이스"" 자격 취득 {discount} 할인{countryNameOptional}";"Зніжка {discount} на павышэнне кваліфікацыі экіпажу да «Ас» для любой тэхнікі {rank} рангу {countryNameOptional}.";"{discount} reducere pentru calificarea ca „As” a echipajului pentru orice vehicul de rang {rank} {countryNameOptional}.";"任意載具等級 {rank}{countryNameOptional} 乘員組""王牌""資格享有 {discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t载\t具\t的\t“\t王\t牌\t认\t证\t资\t格\t”\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/specialization_premium/rank_premium";"{discount} discount on ""Ace"" crew qualification for any premium vehicle of rank {rank}{countryNameOptional}.";"Remise de {discount} sur la qualification ""Ace"" de l'équipage pour n'importe quel véhicule premium de rang {rank}{countryNameOptional}.";"{discount} di sconto sulla qualifica ""Asso"" per gli equipaggi di qualsiasi unità premium di ERA{rank} {countryNameOptional}.";"{discount} Rabatt auf die Qualifikation 'Ass' für jegliches Rang-{rank}-Premiumfahrzeug{countryNameOptional}.";"{discount}de descuento en calificación de tripulación como ""As"" para cualquier vehículo premium de rango {rank}{countryNameOptional}.";"Скидка {discount} на покупку квалификации экипажа ""Ас"" для любой премиумной техники {rank} ранга{countryNameOptional}.";"{discount} zniżki na kwalifikację załogi ""As"" na dowolną maszynę premium z {rank} ery {countryNameOptional}.";"{discount} sleva na kvalifikaci ""Eso"" pro jakýkoliv prémiový stroj {rank}. úrovně {countryNameOptional}";"Herhangi bir seviye {rank} premium araca{countryNameOptional} ""As"" mürettebat niteliği için {discount} indirim.";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t高\t级\t载\t具\t的\t“\t王\t牌\t认\t证\t资\t格\t”\t享\t受\t {discount} \t优\t惠";"プレミアム\t機体・\t車両の\tランク{rank}{countryNameOptional}の「エース」\t乗員資格を{discount}割引。";"{discount} de desconto na qualificação ''Ás'' de qualquer veículo premium de nível {rank}{countryNameOptional}.";"{discount} discount on ""Ace"" crew qualification for any premium vehicle of rank {rank}{countryNameOptional}.";"Знижка {discount} на придбання кваліфікації екіпажу ""Ас"" для будь-якої преміумної техніки {rank} рангу{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na ""As"" kvalifikaciju posade za sva premijum vozila {rank} ranga {countryNameOptional}.";"{discount} kedvezmény ász legénységi képzettségre bármelyik {rank}. rangú prémiumjárműhöz. {countryNameOptional}";"모든 {rank}랭크 프리미엄 장비 승무원의 ""에이스"" 자격 취득 {discount} 할인{countryNameOptional}";"Зніжка {discount} на павышэнне кваліфікацыі экіпажу да «Ас» для любой прэміумнай тэхнікі {rank} рангу {countryNameOptional}.";"{discount} reducere pentru calificarea ca „As” a echipajului pentru orice vehicul special de rang {rank} {countryNameOptional}.";"任意高級載具 {rank} 級 {countryNameOptional} 乘員組""王牌""資格享有 {discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t高\t级\t载\t具\t的\t“\t王\t牌\t认\t证\t资\t格\t”\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/specialization_premium/aircraft";"{discount} discount on ""Ace"" crew qualification for vehicle: <color=@userlogColoredText>{aircraftName}</color>";"Remise de {discount} sur la qualification ""Ace"" de l'équipage pour le véhicule: <color=@userlogColoredText>{aircraftName}</color>";"{discount} di sconto sulla qualifica ""Ace"" per l'unità: <color=@userlogColoredText>{aircraftName}</color>";"{discount} Rabatt auf die Qualifikation 'Ass' für Fahrzeug: <color=@userlogColoredText>{aircraftName}</color>";"{discount}de descuento en calificación de tripulación como ""As"" para el vehículo: <color=@userlogColoredText>{aircraftName}</color>";"Скидка {discount} на покупку квалификации экипажа ""Ас"" для техники: <color=@userlogColoredText>{aircraftName}</color>";"{discount} zniżki na kwalifikację załogi „As” dla maszyny: <color=@userlogColoredText>{aircraftName}</color>";"{discount} sleva na kvalifikaci ""Eso"" pro stroj <color=@userlogColoredText>{aircraftName}</color>";"Araca ""As"" mürettebat niteliği için {discount} indirim: <color=@userlogColoredText>{aircraftName}</color>";"购\t买\t <color=@userlogColoredText>{aircraftName}</color> \t的\t“\t王\t牌\t认\t证\t资\t格\t”\t享\t受\t {discount} \t优\t惠";"<color=@userlogColoredText>{aircraftName}</color> 機体「エース」\t{discount} 割引";"{discount} de desconto na qualificação ''Ás'' do veículo: <color=@userlogColoredText>{aircraftName}</color>";"{discount} discount on ""Ace"" crew qualification for vehicle: <color=@userlogColoredText>{aircraftName}</color>";"Знижка {discount} на придбання кваліфікації екіпажу ""Ас"" для техніки: <color=@userlogColoredText>{aircraftName}</color>";"<color=@userlogColoredText>{discount}%</color> popust na ""As"" kvalifikaciju za vozilo : <color=@userlogColoredText>{aircraftName}</color>";"{discount} kedvezmény ász legénységi képzettségre a(z) <color=@userlogColoredText>{aircraftName}</color> járműhöz.";"<color=@userlogColoredText>{aircraftName}</color> 승무원의 ""에이스"" 자격 취득 {discount} 할인";"Зніжка {discount} на павышэнне кваліфікацыі экіпажу да «Ас» для тэхнікі: <color=@userlogColoredText>{aircraftName}</color>";"{discount} reducere pentru calificarea ca „As” a echipajului pentru: <color=@userlogColoredText>{aircraftName}</color>";"載具: <color=@userlogColoredText>{aircraftName}</color> 乘員組""王牌""資格享有 {discount} 折扣優惠。";"购\t买\t <color=@userlogColoredText>{aircraftName}</color> \t的\t“\t王\t牌\t认\t证\t资\t格\t”\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/specialization_premium/aircraft/multiple";"Up to {discount} discount on ""Ace"" crew qualification for vehicles.";"Jusqu'à {discount} de remise sur les qualifications ""Ace"" de l'équipage pour les véhicules.";"Fino al {discount} di sconto sulla qualifica ""Asso"" per gli equipaggi.";"Bis zu {discount} Rabatt auf die Qualifikation 'Ass' für Fahrzeuge.";"Hasta un {discount}de descuento en calificación de tripulación como ""As"" para vehiculos vehículo.";"Скидка до {discount} на покупку квалификации экипажа ""Ас"" для техники.";"Do {discount} zniżki na kwalifikację załogi „As” dla maszyn.";"Až {discount} sleva na kvalifikaci ""Eso"" pro stroje";"Araçlar için ""As"" mürettebat niteliği için {discount}' varan indirim.";"购\t买\t“\t王\t牌\t认\t证\t资\t格\t”\t最\t高\t享\t受\t {discount} \t优\t惠";"機体・\t車両の「エース」\t乗員資格を\t最大{discount}割引。";"Até {discount} de desconto na qualificação ''Ás'' de veículos.";"Up to {discount} discount on ""Ace"" crew qualification for vehicles.";"Знижка до {discount} на придбання кваліфікації екіпажу ""Ас"" для техніки.";"Popust na ""As"" kvalifikaciju za vozila do <color=@userlogColoredText>{discount}%</color> .";"Akár {discount} kedvezmény ász legénységi képzettségre.";"""에이스"" 자격 취득 최대 {discount} 할인";"Зніжка да {discount} на павышэнне кваліфікацыі экіпажу да «Ас» для тэхнікі.";"Până la {discount} reducere pentru calificarea ca „As” a echipajului pentru vehicule.";"載具乘員組""王牌""資格最高享有 {discount} 折扣優惠。";"购\t买\t“\t王\t牌\t认\t证\t资\t格\t”\t最\t高\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/specialization/all";"{discount} discount on ""Expert"" crew qualification for any vehicle{countryNameOptional}.";"Remise de {discount} sur la qualification ""Expert"" de l'équipage pour n'importe quel véhicule{countryNameOptional}.";"{discount} di sconto sulla qualifica ""Esperto"" per gli equipaggi di qualsiasi unità{countryNameOptional}.";"{discount} Rabatt auf die Qualifikation 'Experte' für jegliches Fahrzeug{countryNameOptional}.";"{discount} de descuento en calificación de tripulación como ""Experto"" para cualquier vehículo {countryNameOptional}.";"Скидка {discount} на покупку квалификации экипажа ""Эксперт"" для любой техники{countryNameOptional}.";"{discount} zniżki na kwalifikację załogi „Ekspert” dla każdej maszyny{countryNameOptional}.";"{discount} sleva na kvalifikaci ""Expert"" pro jakýkoliv stroj {countryNameOptional}";"Herhangi bir araca{countryNameOptional} ""Uzman"" mürettebat niteliği için {discount} indirim.";"购\t买\t任\t意\t{countryNameOptional}\t载\t具\t的\t“\t专\t家\t认\t证\t资\t格\t”\t享\t受\t {discount} \t优\t惠";"機体・\t車両{countryNameOptional}の「ベテラン」\t乗員資格を{discount}割引。";"{discount} de desconto na qualificação ''Especialista'' de qualquer veículo{countryNameOptional}.";"{discount} discount on ""Expert"" crew qualification for any vehicle{countryNameOptional}.";"Знижка {discount} на придбання кваліфікації екіпажу ""Експерт"" для будь-якої техніки{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na ""Ekspert"" kvalifikaciju posade za sva vozila {countryNameOptional}.";"{discount} kedvezmény tapasztalt legénységi képzettségre bármelyik járműhöz. {countryNameOptional}";"모든 장비 승무원의 ""전문가"" 자격 취득 {discount} 할인{countryNameOptional}";"Зніжка {discount} на павышэнне кваліфікацыі экіпажу да «Эксперт» для любой тэхнікі {countryNameOptional}.";"{discount} reducere pentru calificarea ca „Expert” a echipajului pentru orice vehicul {countryNameOptional}.";"任意載具 {countryNameOptional} 乘員組""專家""資格享有 {discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional}\t载\t具\t的\t“\t专\t家\t认\t证\t资\t格\t”\t享\t受\t {discount} \t优\t惠\t。";;
