<ID|readonly|noverify>;<English>;<French>;<Italian>;<German>;<Spanish>;<Russian>;<Polish>;<Czech>;<Turkish>;<Chinese>;<HChinese>;<TChinese>;<Japanese>;<Portuguese>;<Vietnamese>;<Ukrainian>;<Serbian>;<Korean>;<Hungarian>;<Belarusian>;<Romanian>;<Comments>
yuplay/err_write_yup;Couldn't save update info file.;Impossible d'enregistrer update info file.;Impossibile salvare update info file.;Update info file konnte nicht gespeichert werden.;No se ha podido guardar update info file.;Невозможно сохранить файл описания обновления.;Nie udało się zapisać update info file;Soubor update info file nebylo možné uložit.;update info file kaydedilemedi.;无法保存“update info file”。;无法保存“update info file”。;無法保存 update info file。;update info file を保存できませんでした。;Não consegue guardar update info file.;Không thể lưu update info file.;Неможливо зберегти файл описания обновления.;Neuspešno čuvanje update info file.;update info file을 저장할 수 없습니다.;Nem sikerült menteni a update info file fájlt.;Немагчыма захаваць файл описания обновления.;Nu s-a putut salva fișierul cu informațiile actualizării.;
yuplay/err_disk;Disk read/write error. Would you like to try again?;Erreur lecture/écriture. Voulez-vous réessayer ?;Errore scrittura/lettura disco. Vuoi riprovare?;Festplatten schreib-/lesefehler. Erneut versuchen?;Error de lectura / escritura del disco. ¿Le gustaría volver a intentarlo?;Ошибка чтения/записи на диск. Хотите попробовать ещё раз?;Błąd dysku. Chcesz spróbować ponownie?;Chyba čtení/zápisu na disk. Chcete to zkusit znovu?;Disk yazma/okuma hatsı. Yeniden denemek ister misiniz?;磁盘读写错误。要重试吗？;磁盘读写错误。要重试吗？;磁碟讀/寫錯誤。是否重試？;ディスクの読み込み/書き込みエラーです。リトライしますか？;Erro de read/write do disco. Deseja tentar novamente?;Disk read/write error. Would you like to try again?;Помилка читання/запису на диск. Хочете спробувати ще раз?;Greška sa očitavanjem diska. Da li želite da pokušate ponovo?;디스크 읽기/쓰기 오류. 다시 시도하시겠습니까?;Lemezolvasási/-írási hiba. Szeretnéd újrapróbálni?;Памылка чытання/запісу на дыск. Ці хочаце паспрабаваць зноў?;Eroare scriere/citire disc. Dorești să mai încerci?;
yuplay/err_yup_download;There is no update info on server.;Il n'y a pas d'information de mise à jour sur le serveur.;Non ci sono informazioni sull'aggiornamento.;Auf dem Server sind keine Update-Informationen vorhanden.;No hay información de actualización en el servidor.;На сервере нет описания данного обновления.;Brak aktualizacji na serwerze.;Na serveru nebyly nalezeny informace o aktualizaci;Sunucuda güncelleme bilgisi yok.;服务器上没有更新信息。;服务器上没有更新信息。;伺服器上未有更新資訊。;サーバーにアップデート情報がありません。;Não há informações acerca da atualização no servidor.;There is no update info on server.;На сервері немає опису даного оновлення;Nema informacija za ažuriranje na serveru.;서버에 업데이트 정보가 없습니다.;Nem található frissítési információ a szerveren.;Не серверы няма апісання гэтага абнаўлення.;Nu există informații despre actualizare pe server.;
yuplay/err_unpack;Could not unpack some files. This can happen when there is already a file with such name in the directory and it could not be removed;Installation de certain fichiers impossible. Cela peut arriver quand un fichier du même nom existe déjà et ne peut être remplacé.;Impossibile scompattare alcuni files. Questo può accadere con dei file non rimovibili aventi lo stesso nome nella directory;Einige Dateien konnten nicht entpackt werden. Das kann vorkommen, sollte es im Spiel-Verzeichnis bereits Dateien dieses Namens geben, die nicht gelöscht werden können.;No se pudieron descomprimir algunos archivos. Esto puede suceder cuando ya hay un archivo con ese nombre en el directorio y no se pudo eliminar;Не удалось распаковать некоторые файлы. Это может случиться если файл с таким именем уже есть в папке игры, и его не получилось удалить;Nie można było rozpakować plików. Taki problem występuje gdy istnieje już plik o identycznej nazwie.;Některé soubory nemohly být rozbaleny. To se může stát, když se v adresáři nachází soubor stejného jména, který nejde odstranit;Bazı dosyalar açılamadı. Bu durum, aynı isme sahip ve silinemeyen başka dosyalar olduğunda yaşanabilir.;部分文件无法解压。目录中可能已存在名称相同的文件，且无法被移除;部分文件无法解压。目录中可能已存在名称相同的文件，且无法被移除;無法解壓縮某些檔案。當目錄中已有具有此類名稱的檔案，並且無法將其刪除時，可能會發生這種情況。;いくつかのファイルを開けませんでした。これは、ディレクトリ内に同じ名前のファイルが既に存在しており、削除できなかった場合に発生することがあります;Não foi possível descompactar alguns arquivos. Isto pode acontecer quando já existe algum arquivo com o mesmo nome no diretório e não pode ser removido;Could not unpack some files. This can happen when there is already a file with such name in the directory and it could not be removed;Не вдалося розпакувати деякі файли. Це може статися якщо файл з таким ім'ям вже є в папці гри, і його не вийшло видалити;Neuspešno otpakivanje nekih fajlova. Ovo se dešava kada u direktorijumu već postoji fajl sa tim imenom I ne može biti izbrisan.;몇몇 파일을 압축 해제할 수 없습니다. 설치 경로에 같은 이름이면서 삭제할 수 없는 파일이 존재합니다.;Nem sikerült kicsomagolni néhány fájlt. Ez akkor fordulhat elő, ha már van ilyen nevű fájl a könyvtárban és az nem eltávolítható.;Не ўдалося распакаваць некаторыя файлы. Магчыма, файл з такім імем ужо існуе ў папцы гульні, і яго не ўдалося выдаліць;Unele fișiere nu au putu fi dezarhivate. Aceasta se poate întâmpla când există deja un fișier  cu același nume și nu poate fi șters.;
yuplay/downloading_setup;Downloading launcher update, please wait...;Téléchargement de la mise à jour du launcher, veuillez patienter...;Attendere, download dell'aggiornamento del launcher...;Launcher-Update wird heruntergeladen. Bitte warten...;Descargando actualización de iniciador, espera...;Загрузка обновления программы запуска, пожалуйста, подождите...;Pobieranie programu uruchamiającego, proszę czekać...;Probíhá stahování aktualizace spouštěcího programu, čekejte prosím...;Başlatıcı güncellemeleri kontrol ediliyor, lütfen bekleyin...;正在下载启动器更新，请稍候;正在下载启动器更新，请稍候;正在下載啟動器更新，請稍候;ランチャーのアップデートをダウンロードしています、お待ち下さい...;Descarregando atualização do iniciador, por favor aguarde...;Đang tải cập nhật launcher, vui lòng đợi...;Завантаження оновлення програми запуску, будь ласка, зачекайте...;Skidanje ažuriranja pokretača igre, molimo sačekajte...;론처 업데이트 다운로드 중입니다. 기다려주십시오...;Indítópult frissítésének letöltése... Kérlek, várj...;Спампоўванне абнаўлення лаўнчара, пачакайце...;Se descarcă actualizarea lansatorului, așteaptă...;
yuplay/updating_launcher;Applying update...;Installation de la mise à jour...;Applicazione aggiornamento...;Heruntergeladene Dateien werden angewendet...;Aplicando actualización …;Установка обновления...;Instalowanie aktualizacji...;Instaluji aktualizaci...;Güncelleme uygulanıyor...;正在应用更新;正在应用更新;正在套用更新……;アップデートを適用中...;Aplicando atualização...;Applying update...;Встановлення оновлення ... ;Primena ažuriranja...;업데이트 적용 중...;Frissítések alkalmazása...;Усталёўванне абнаўлення...;Aplicare actualizare...;
yuplay/err_save_file;Couldn't save file %s.;Impossible d'enregistrer le fichier %s.;Impossibile salvare il file %s.;Datei %s konnte nicht gespeichert werden.;No se ha podido guardar el archivo %s.;Невозможно сохранить файл %s.;Nie udało się zapisać pliku %s.;Soubor %s nebylo možné uložit.;%s dosyası kaydedilemedi.;无法保存文件 %s;无法保存文件 %s;無法保存檔案 %s;ファイル %s を保存できませんでした。;Não foi possível guardar o ficheiro %s.;Không thể lưu tệp tin %s.;Неможливо зберегти файл %s.;Neuspešno čuvanje fajla %s.;파일 %s을(를) 저장할 수 없습니다.;Nem sikerült menteni a(z) %s fájlt.;Немагчыма захаваць файл %s.;Nu s-a putut salva fișierul %s.;
yuplay/launcher_upd_caption;Setup;Configuration;Configurazione;Installation;Configuración;Установка;Ustawienia;Nastavení;Kurulum;设置;设置;設定;セットアップ;Configurações;Cài đặt;Встановлення;Podešavanje;설정;Beállítások;Усталяванне;Configurare;
yuplay/after_download;Finishing download;Fin de téléchargement;Completamento del download;Download abschließen;Finalizando descarga;Заканчиваю загрузку;Kończenie pobierania;Dokončování stažení;İndirme işlemi bitiyor;正在完成下载;正在完成下载;正在完成下載;ダウンロードの完了中;Terminando o download;Tải xuống hoàn tất;Закінчення завантаження;Završavanje skidanja;다운로드 완료;Letöltés befejezése;Завяршэнне спампавання;Finalizare descărcare;
yuplay/patch_preparing;Preparing to patch...;Préparation de la mise à jour...;Preparazione all'aggiornamento...;Bereite Update vor...;Preparándose para parchear …;Подготовка к патчу...;Przygotowanie do aktualizacji...;Připravuji aktualizaci...;Güncellemeye hazırlanılıyor...;正在准备升级;正在准备升级;正在準備升级;パッチの準備中...;Preparando para atualizar...;Đang chuẩn bị cài đặt...;Підготовка до патчу...;Priprema za ažuriranje...;패치 준비 중...;Felkészülés a frissítésre...;Падрыхтоўка да патча...;Pregătire aplicare actualizare...;
yuplay/patch_gameres;Patching game resources;Mise à jour des ressources du jeu;Aggiornamento risorse di gioco;Aktualisierung der Spieldateien...;Aplicando parches a los recursos del juego;Обновление игровых ресурсов;Aktualizacji zasobów gry;Aktualizuji herní soubory;Kaynak dosyaları güncelleniyor...;正在升级资源文件;正在升级资源文件;正在升级遊戲資源檔案;ゲームリソースにパッチを当てています;Atualizando os recursos do jogo;Đang cài đặt tài nguyên trò chơi;Оновлення ігрових ресурсів;Ažuriranje resursa igre;게임 자원 패치;Forrásfájlok frissítése;Абнаўленне рэсурсаў гульні;Actualizare resurse joc;
yuplay/patch_tex;Patching game textures;Mise à jour des textures du jeu;Aggiornamento textures di gioco;Aktualisierung der Spieltexturen...;Aplicando parches a los texturas del juego;Обновление текстур;Aktualizacja tekstur;Aktualizuji textury;Doku dosyaları güncelleniyor...;正在升级纹理文件;正在升级纹理文件;正在升级纹理檔案;ゲームテクスチャにパッチを当てています;Atualizando as texturas do jogo;Đang cài đặt kết cấu trò chơi;Оновлення текстур;Ažuriranje tekstura igre;게임 텍스처 패치;Textúrák frissítése;Абнаўленне тэкстур;Actualizare texturi joc;
yuplay/patch_finishing;Finishing patch...;Fin de la mise à jour...;Finalizzazione aggiornamento...;Aktualisierung wird abgeschlossen...;Finalizando parche…;Окончание патча...;Kończenie aktualizacji...;Dokončuji aktualizaci...;Güncelleme tamamlanıyor...;正在完成升级;正在完成升级;正在完成升級;パッチ完了中...;Terminando atualização...;Đang hoàn thành cài đặt...;Закінчення патчу...;Završavanje ažuriranja;패치 마무리 중...;Frissítés befejezése...;Завяршэнне патча...;Finalizare actualizare...;
yuplay/login_caption;Gaijin.Net authentication;Authentification de Gaijin.Net;Autenticazione di Gaijin.Net;Gaijin.Net Authentifizierung;Autenticación Gaijin.Net;Авторизация Gaijin.Net;Autoryzacja Gaijin.Net;Ověření hry Gaijin.Net;Gaijin.Net yetkilendirme;Gaijin.Net 验证;Gaijin.Net 验证;Gaijin.Net 驗證;Gaijin.Net認証;Autenticação do Gaijin.Net;Gaijin.Net authentication;Авторизація Gaijin.Net;Gaijin.Net autentikacija;워썬더 인증;Gaijin.Net hitelesítés;Аўтарызацыя Gaijin.Net;Autentificare Gaijin.Net;
yuplay/login_msg;Enter Gaijin.Net account e-mail and password;Entrez l'email et le mot de passe de votre compte Gaijin.Net.;Immetti l'e-mail e la password dell'account di Gaijin.Net;E-Mail und Passwort des Gaijin.Net Kontos eingeben;Ingrese el correo electrónico y la contraseña de la cuenta de Gaijin.Net;Укажите e-mail и пароль профиля Gaijin.Net;Wprowadź adres e-mail oraz hasło;Zadejte přihlašovací e-mail a heslo ke hře Gaijin.Net;Gaijin.Net hesap e-posta adresini ve şifresini giriniz;请输入 Gaijin.Net 账户邮箱及密码;请输入 Gaijin.Net 账户邮箱及密码;輸入 Gaijin.Net 帳戶電子郵件和密碼;Gaijin.Netアカウントのメールアドレスとパスワードを入力してください;Entre com o email e palavra chave da conta do Gaijin.Net;Enter Gaijin.Net account e-mail and password;Вкажіть e-mail та пароль профілю Gaijin.Net;Unesite e-mail i šifru Gaijin.Net naloga;워썬더 계정 이메일 및 비밀번호 입력;Add meg a Gaijin.Net fiókod e-mail címét és jelszavát;Увядзіце e-mail і пароль профілю Gaijin.Net;Introdu adresa de e-mail și parola Gaijin.Net;
yuplay/login_lost;Please specify correct Gaijin.Net login.;Merci de renter un identifiant correct;Prego, specificare il corretto login di Gaijin.Net;Bitte korrekte Login-Informationen für Gaijin.Net eingeben.;Por favor, especifique el inicio de sesión correcto de Gaijin.Net.;Пожалуйста, укажите корректный логин Gaijin.Net.;Wprowadź poprawny login.;Zadejte přihlašovací e-mail ke hře Gaijin.Net;Lütfen doğru Gaijin.Net kullanıcı adını yazınız;请输入正确的 Gaijin.Net 账户信息。;请输入正确的 Gaijin.Net 账户信息。;請輸入正確的 Gaijin.Net 登入資訊。;正しいGaijin.Netログインを入力してください。;Por favor especifique o login correto do Gaijin.Net.;Please specify correct Gaijin.Net login.;Будь ласка, вкажіть коректний логін Gaijin.Net.;Molimo vas unesite ispravan Gaijin.Net nalog.;워썬더 로그인을 올바로 입력하십시오.;Adj meg egy helyes Gaijin.Net belépési azonosítót.;Увядзіце правільны лагін Gaijin.Net.;Specifică adresa corectă pentru Gaijin.Net;
yuplay/password_lost;Please specify Gaijin.Net password.;Merci de renter un mot de passe Gaijin.Net;Prego, Specificare la password di Gaijin.Net;Bitte korrekts Passwort für Gaijin.Net eingeben.;Por favor, especifique la contraseña de Gaijin.Net.;Пожалуйста, укажите пароль Gaijin.Net.;Wprowadź poprawne hasło.;Zadejte heslo ke svému Gaijin.Net účtu;Lütfen Gaijin.Net için şifrenizi girin;请输入正确的 Gaijin.Net 账户密码。;请输入正确的 Gaijin.Net 账户密码。;請輸入 Gaijin.Net 密碼。;Gaijin.Netパスワードを入力してください。;Por favor especifique a palavra chave correta do Gaijin.Net.;Please specify Gaijin.Net password.;Будь ласка, вкажіть пароль Gaijin.Net.;Molimo vas unesite šifru.;워썬더 비밀번호를 올바로 입력하십시오.;Add meg a Gaijin.Net jelszavad.;Увядзіце пароль Gaijin.Net.;Specifică parola corectă pentru Gaijin.Net;
yuplay/wrong_password1;You have entered wrong e-mail or password. Would you like to try again?;Identifiant ou mot de passe incorrect. Voulez vous réessayer  ?;Hai immesso una password o e-mail errata. Vuoi riprovare?;Du hast eine falsche E-Mail-Adresse oder Passwort eingegeben. Erneut versuchen?;Ha ingresado un correo electrónico o contraseña incorrectos. ¿Le gustaría volver a intentarlo?;Неверный e-mail или пароль. Хотите попробовать ещё раз?;Wpisałeś błędny login lub hasło. Chcesz spróbować ponownie?;Zadali jste špatný e-mail, nebo heslo. Chcete to zkusit znovu?;Yanlış bir e-posta adresi yada şifre girdiniz. Tekrar denemek ister misiniz?;账户邮箱或密码输入错误。是否要重试？;账户邮箱或密码输入错误。是否要重试？;您輸入了錯誤的電子郵件或密碼。是否要重試？;メールアドレスまたはパスワードが正しくありません。もう一度試しますか？;Você colocou email ou palavra chave incorretos. Deseja tentar novamente?;You have entered wrong e-mail or password. Would you like to try again?;Невірний e-mail або пароль. Хочете спробувати ще раз?;Uneli ste pogrešan e-mail ili šifru. Da li želite da pokušate ponovo?;이메일이나 비밀번호를 잘못 입력했습니다. 다시 시도하시겠습니까?;Hibás e-mail címet vagy jelszót adtál meg. Szeretnéd újrapróbálni?;Памылковы e-mail або пароль. Ці хочаце паспрабаваць яшчэ раз?;Ai introdus adresa de e-mail sau parola greșită. Dorești să mai încerci?;
yuplay/wrong_password2;"If you push ""Cancel"" button, you will be directed to the password recovery page.";"Si vous cliquez sur ""Annuler"", vous serez redirigé vers la page de récupération de mot de passe.";Se premi il tasto “Annulla” verrai indirizzato alla pagina di recupero password.;"Mit einem Klick auf ""Abbrechen"" wirst du auf die Website zur Wiederherstellung deines Passworts geleitet.";"Si presiona el botón ""Cancelar"", se lo dirigirá a la página de recuperación de contraseña.";"При нажатии на кнопку ""Отмена"" вы будете отправлены на страницу восстановления пароля.";Jeśli wciśniesz „Anuluj” zostaniesz przeniesiony do odzyskiwania hasła.;"Pokud zmáčknete tlačítko""Zrušit"", budete přesměrování na stránku obnovení hesla.";“İptal” seçeneğine tıklarsanız şifre kurtarma ekranına yönlendirileceksiniz.;按下“取消”将转向找回密码页面。;按下“取消”将转向找回密码页面。;"If you push ""Cancel"" button you will be directed to the password recovery page.";"If you push ""Cancel"" button you will be directed to the password recovery page.";"Se pressionar ""Cancelar"", será redirecionado para a página de recuperação de palavras chave.";"If you push ""Cancel"" button you will be directed to the password recovery page.";"При натисканні на кнопку ""Скасувати"" ви будете відправлені на сторінку відновлення пароля.";"Ako pritisnete taster ""Prekini"", bićete upućeni na stranicu za povratak šifre.";"""취소"" 버튼을 누르면 비밀번호 복구 페이지로 이동합니다.";Ha a Mégse gombra kattintasz, a jelszó-helyreállítási oldalra leszel irányítva.;Калі націснуць на «Скасаваць», вас перанакіруе на старонку аднаўлення пароля.;"Dacă apeși pe ""Anulare"", vei fi redirecționat pe pagina de recuperare a parolei.";
launcher/still_running;Launcher was minimized but is still running;Le Launcher est  minimisé mais tourne toujours;Il launcher è stato minimizzato ma è ancora attivo;Der Launcher wurde minimiert, wird aber weiterhin ausgeführt.;El iniciador se minimizó pero todavía se está ejecutando;Лончер свёрнут, но всё ещё работает;Launcher został zminimalizowany, lecz wciąż działa.;Launcher byl minimalizován, ale stále běží na pozadí.;Başlatıcı küçültüldü ancak hala çalışıyor;启动器已最小化并继续运行;启动器已最小化并继续运行;啟動器已最小化，但仍在執行;ランチャーは最小化されましたが今も実行中です;Inicializador minimizado mas ainda a correr;Launcher was minimized but is still running;Лончер згорнутий, але все ще працює ;Pokretač igre je minimiziran ali još uvek radi;런처가 최소화되었지만 계속 작동 중입니다.;Az indítópult rendszertálcára helyezve, de még fut.;Лаўнчар згорнуты, але ўсё яшчэ запушчаны;Lansatorul a fost micșorat dar încă este pornit;
launcher/updates_found;A new launcher version found. Would you like to download and install it now?;Une nouvelle version du launcher trouvée. Voulez-vous la télécharger et l'installer maintenant ?;Trovata una nuova versione del launcher. Scaricarla e installarla ora?;Neue Launcher-Version gefunden. Jetzt herunterladen und installieren?;Se ha encontrado una nueva versión del iniciador. ¿Quieres descargarla e instalarla ahora?;Найдено обновление программы запуска. Загрузить и установить сейчас?;Dostępna jest nowa wersja programu uruchamiającego. Chcesz ją teraz pobrać i zainstalować?;Byla nalezena nová verze spouštěcího programu. Chcete ji nyní stáhnout a nainstalovat?;Yeni bir başlatıcı sürümü bulundu. Şimdi indirmek ve yüklemek ister misin?;检测到新的启动器版本，要立刻下载安装吗？;检测到新的启动器版本，要立刻下载安装吗？;偵測到新的啟動器版本，要立刻下載安裝嗎？;新しいバージョンのランチャーが見つかりました。すぐにダウンロードして、インストールしますか?;Nova versão de iniciador encontrada. Deseja descarregar e instalar agora?;Phiên bản Launcher mới được tìm thấy. Bạn có muốn tải và cài đặt ngay bây giờ?;Знайдено оновлення програми запуску. Бажаєте завантажити й оновити зараз?;Nova verzija pokretača igre je dostupna. Da li želite da je skinete i instalirate sad?;새로운 론처 버전이 있습니다. 지금 다운로드하고 설치하시겠습니까?;Frissebb indítópult érhető el. Szeretnéd most letölteni és telepíteni?;Знойдзена абнаўленне лаўнчара. Ці спампаваць і ўсталяваць яго зараз?;S-a găsit o nouă verisiune a lansatorului. Dorești să o descarci și să o instalezi acum?;
launcher/checking_version;Checking launcher update, please wait...;Vérification de la mise à jour du launcher, veuillez patienter…;Attendere, controllo dell'aggiornamento del launcher...;Suche nach Launcher-Updates. Bitte warten...;Comprobando actualización de iniciador, espera...;Поиск обновлений для программы запуска, пожалуйста, подождите...;Poszukiwanie aktualizacji programu uruchamiającego, proszę czekać...;Probíhá kontrola aktualizace spouštěcího programu, čekejte prosím...;Başlatıcı güncellemeleri kontrol ediliyor, lütfen bekleyin...;正在检查启动器更新，请稍候;正在检查启动器更新，请稍候;正在檢查啟動器更新，請稍候;ランチャーのアップデートをチェックしています、お待ち下さい...;Verificando atualização do iniciador, por favor aguarde...;Đang kiểm tra cập nhật Launcher, vui lòng đợi…;Пошук оновлень для програми запуску, будь ласка, зачекайте...;Proveravanje ažuriranja pokretača igre, molimo sačekajte...;론처 확인 중입니다. 기다려주십시오...;Indítópult-frissítések keresése... Kérlek, várj...;Пошук абнаўленняў лаўнчара, пачакайце...;Verificare actualizări lansator, așteaptă...;
launcher/update;Update launcher;Mise à jour du launcher;Aggiorna launcher;Launcher aktualisieren;Actualizar iniciador;Обновить лончер;Zaaktualizuj program uruchamiający;Aktualizovat spouštěcí program;Başlatıcıyı güncelle;更新启动器;更新启动器;更新啟動器;ランチャーの更新;Atualizar iniciador;Cập nhật launcher;Оновити лончер;Ažuriranje pokretača igre;론처 업데이트;Indítópult frissítése;Абнавіць лаўнчар;Actualizare lansator;
launcher/need_login;You must be logged in before running this game.;Vous devez être connecté avant de lancer ce jeu.;Per eseguire il gioco occorre effettuare l'accesso.;Du musst dich anmelden, bevor du dieses Spiel starten kannst.;Debes haber iniciado sesión antes de ejecutar este juego.;Вы должны авторизоваться перед запуском игры.;Przed uruchomieniem gry musisz się zalogować.;Před spuštěním hry se musíte přihlásit;Bu oyunu çalıştırmadan önce giriş yapmış olmalısınız.;必须登录后才能进行游戏。;必须登录后才能进行游戏。;必須登錄後才能進行遊戲。;このゲームを実行する前に、ログインする必要があります。;Tem de estar conectado antes de iniciatr o jogo.;Bạn phải đăng nhập trước khi khởi động trò chơi.;Ви повинні авторизуватися перед запуском гри. ;Morate biti prijavljeni pre nego što pokrenete ovu igru.;이 게임을 실행하려면 먼저 로그인해야 합니다.;A játék indítása előtt be kell jelentkezned.;Вы павінны аўтарызавацца перад запускам гульні.;Trebuie să fii conectat pentru a putea lansa jocul.;
main/options;OPTIONS;OPTIONS;OPZIONI;OPTIONEN;OPCIONES;НАСТРОЙКИ;OPCJE;NASTAVENÍ;AYARLAR;选项;选项;選項;オプション;OPÇÕES;TÙY CHỌN;НАЛАШТУВАННЯ;OPCIJE;설정;BEÁLLÍTÁSOK;НАЛАДЫ;OPȚIUNI;
main/network;NETWORK STATUS;ÉTAT DU RÉSEAU;STATO RETE;NETZWERKSTATUS;ESTADO DE LA RED;СЕТЕВОЕ ПОДКЛЮЧЕНИЕ;STATUS SIECI;STAV SÍTĚ;AĞ DURUMU;网络状况;网络状况;網路狀況;ネットワークのステータス;ESTADO DA REDE;TÌNH TRẠNG ĐƯỜNG TRUYỀN;СТАН МЕРЕЖІ;STATUS MREŽE;네트워크 상태;HÁLÓZATI ÁLLAPOT;СТАН СЕТКІ;STARE REȚEA;
download_progress;"[speed]; Remaining: [rest]<br>ETA: [eta]";"[speed] ; Restant : [rest]<br>ETA: [eta]";"[speed]; Rimanente: [rest]<br>ETA: [eta]";"[speed]; Verbleibend: [rest]<br>Restzeit: [eta]";"[speed]; Restante: [rest]<br>Tiempo estimado: [eta]";"[speed]; Осталось: [rest]<br>Оставшееся время: [eta]";"[speed]; Pozostało: [rest]<br>Koniec za: [eta]";"[speed]; Zbývá: [rest]<br>Čas do dokončení: [eta]";"[speed]; Kalan: [rest]<br>Tahmini Bitiş: [eta]";[speed]；剩余大小：[rest]<br>剩余时间：[eta];[speed]；剩余大小：[rest]<br>剩余时间：[eta];[speed]；剩餘大小：[rest]<br>剩餘時間：[eta];"[speed]; 残り:[rest]<br>ETA:[eta]";"[speed]; Restante: [rest]<br>TRA: [eta]";"[speed]; Dung lượng: [rest]<br>ETA: [eta]";"[speed]; Залишилось: [rest]<br>Часу очікувати: [eta]";"[speed]; Ostaje: [rest]<br>Vreme: [eta]";"[speed]; 잔여: [rest]<br>ETA: [eta]";"[speed]; hátravan: [rest]<br>várható befejezés: [eta]";"[speed]; Засталося: [rest]<br>Засталося часу: [eta]";"[speed]; Rămas: [rest]<br>Timp estimat: [eta]";
download_progress_noeta;"[speed]; Remaining: [rest]";"[speed] ; Restant : [rest] ";"[speed]; Rimanente: [rest]";"[speed]; Verbleibend: [rest]";"[speed]; Restante: [rest]";"[speed]; Осталось: [rest]";"[speed]; Pozostało: [rest]";"[speed]; Zbývá: [rest]";"[speed]; Kalan: [rest]";[speed]；剩余大小：[rest];[speed]；剩余大小：[rest];[speed]；剩餘大小：[rest];"[speed]; 残り:[rest]";"[speed]; Restante: [rest]";"[speed]; Dung lượng: [rest]";"[speed]; Залишилось: [rest]";"[speed]; Ostaje: [rest]";"[speed]; 잔여: [rest]";"[speed]; hátravan: [rest]";"[speed]; Засталося: [rest]";"[speed]; Rămas: [rest]";
download_progress_nospeed;Remaining: [rest];Restant : [rest] ;Rimanente: [rest];Verbleibend: [rest];Restante: [rest];Осталось: [rest];Pozostało: [rest];Zbývá: [rest];Kalan: [rest];剩余大小：[rest];剩余大小：[rest];剩餘大小：[rest];残り:[rest];Restante: [rest];Dung lượng: [rest];Залишилось: [rest];Ostaje: [rest];잔여: [rest];Hátravan: [rest];Засталося: [rest];Rămas: [rest];
size_b;B;O;B;B;B;Б;B;B;B;B;B;B;B;B;B;Б;B;B;B;Б;B;
size_kb;KB;KO;KB;KB;kB;КБ;KB;KB;KB;KB;KB;KB;KB;KB;KB;КБ;KB;KB;KB;КБ;KB;
size_mb;MB;MO;MB;MB;MB;МБ;MB;MB;MB;MB;MB;MB;MB;MB;MB;МБ;MB;MB;MB;МБ;MB;
size_gb;GB;GO;GB;GB;GB;ГБ;GB;GB;GB;GB;GB;GB;GB;GB;GB;ГБ;GB;GB;GB;ГБ;GB;
speed_b;B/s;O/s;B/s;B/s;B/s;Б/с;B/s;B/s;B/s;B/s;B/s;B/秒;B/秒;B/s;B/s;Б/с;B/s;B/s;B/s;Б/с;B/s;
speed_kb;KB/s;KO/s;KB/s;KB/s;KB/s;КБ/с;KB/s;KB/s;KB/s;KB/s;KB/s;KB/秒;KB/秒;KB/s;KB/s;КБ/с;KB/s;KB/s;KB/s;КБ/с;KB/s;
speed_mb;MB/s;MO/s;MB/s;MB/s;MB/s;МБ/с;MB/s;MB/s;MB/s;MB/s;MB/s;MB/秒;MB/秒;MB/s;MB/s;МБ/с;MB/s;MB/s;MB/s;МБ/с;MB/s;
speed_gb;GB/s;GO/s;GB/s;GB/s;GB/s;ГБ/с;GB/s;GB/s;GB/s;GB/s;GB/s;GB/秒;GB/秒;GB/s;GB/s;ГБ/с;GB/s;GB/s;GB/s;ГБ/с;GB/s;
time_day;d;j;g;T;d;д;d;d;g;天;天;天;日;d;d;д;d;일;nap;сут;d;
time_hour;h;h;h;Std.;h;ч;g;h;sa;小时;小时;小時;時間;h;h;г;h;시간;óra;гадз;h;
time_min;min;min;min;Min.;min;мин;m;min;dk;分;分;分;分;min;min;хв;min;분;perc;хв;min;
time_sec;s;s;s;Sek.;s;с;s;s;s;秒;秒;秒;秒;s;s;с;s;초;mp;с;s;
time_inf;∞;∞;∞;∞;∞;∞;∞;∞;∞;∞;∞;∞;∞;∞;âˆ;∞;∞;∞;∞;∞;∞;
network/upload_speed;Seeding speed;Vitesse de partage;Velocità di seeding;Seeding-Geschwindigkeit;Velocidad de propagación;Скорость раздачи;Prędkość udostępniania;Rychlost odesílání;Besleme hızı;做种速度;做种速度;做種速度;シード速度;Velocidade de envio;Tốc độ seeding;Швидкість віддачі;Brzina seed-ovanja;시드 속도;Feltöltési sebesség;Хуткасць раздачы;Viteză partajare;
network/p2p_speed;P2P speed;Vitesse P2P;Velocità P2P;P2P-Geschwindigkeit;Velocidad P2P;Скорость P2P;Prędkość P2P;Rychlost P2P;P2P hızı;P2P 速度;P2P 速度;P2P 速度;P2P 速度;Velocidade P2P;Tốc độ P2P;Швидкісь P2P;P2P brzina;P2P 속도;P2P sebesség;Хуткасць P2P;Viteză P2P;
network/http_speed;HTTP speed;Vitesse HTTP;Velocità HTTP;HTTP-Geschwindigkeit;Velocidad HTTP;Скорость HTTP;Prędkość HTTP;Rychlost HTTP;HTTP hızı;HTTP 速度;HTTP 速度;HTTP 速度;HTTP 速度;Velocidade HTTP;Tốc độ HTTP;Швидкість HTTP;HTTP brzina;HTTP 속도;HTTP sebesség;Хуткасць HTTP;Viteză HTTP;
